publishedAt,authorDisplayName,textDisplay,likeCount
2025-11-24T11:47:25Z,@sasharosic6765,WOOOOOOOOOO,1
2025-11-24T11:46:18Z,@florinalinmarginean1135,Fox News is so disgusting. Every time I think they hit the bottom of the barrel they manage to dig deeper,1
2025-11-24T11:42:16Z,@stephenr9204,"<a href=""https://www.youtube.com/watch?v=oZBzUIA26eU&amp;t=23"">0:23</a> fake news, the 8th was a Wednesday. It was my birthday lol",0
2025-11-24T11:37:50Z,@noheroespublishing1907,"I really wish I could remember the guy who said during the 2016 Campaign, he was a Conservative Strategist, who said that the Left would have to run US Policy going forward because neither the Conservatives or the Liberals have any serious policies for governing.",0
2025-11-24T11:35:02Z,@way2chi,You hit it on the head. There is no lifeline post Trump,0
2025-11-24T11:30:26Z,@clashwars2076,I bought a new shock collar for my goldfish hasan 😂😂😂😂😂,4
2025-11-24T11:26:14Z,@d.w.stratton4078,"<a href=""https://www.youtube.com/watch?v=oZBzUIA26eU&amp;t=72"">1:12</a> No, Zohran showed that he&#39;s a Reformist, and history has shown Reformism doesn&#39;t work because it always results in 1. caving to Centrism to get stuff done and 2. reforms being rolled back by the next administration or sidestepped entirely by grift and corporate shenanigans.<br><br>Moreover, historically Social Democrats have betrayed the working class and fought on the same side of the barricades as the Fascisti AGAINST the people&#39;s movement.",0
2025-11-24T11:17:16Z,@ScottM5.0,"East coast &amp; Southern accents don’t sound like “tough guys”. Come to the upper midwest &amp; shovel snow, big shot. Your pizza &amp; BBQ isn’t anything.",0
2025-11-24T11:08:11Z,@missshroom5512,And the drama continues…,1
2025-11-24T11:06:05Z,@kohllatte5564,"<a href=""https://www.youtube.com/watch?v=Ay4n30oyLOY&amp;t=611"">https://www.youtube.com/watch?v=Ay4n30oyLOY&amp;t=611s</a>",1
2025-11-24T11:04:51Z,@srslynow,Why is KKKaroline shouting,1
2025-11-24T11:04:27Z,@rodneyp9590,I don’t think it’s a good thing Zohran and trump get along. I think ice is coming in and Zohran is stepping aside. The man gives me bad vibes and I think he’s as sincere as obama,0
2025-11-24T10:52:58Z,@IGORBROON,"I dunno if I’m just too cooked in the head at this point following politics but that whole thing felt like a mob movie scene, where the Godfather is super nice to the new Chief of Police before putting out an order to get him whacked 😅 ‘It couldn’t have been us I was so nice to him, we were basically friends’",0
2025-11-24T10:40:31Z,@issaadan4909,He’s acting like a jealous girlfriend 😂😂,0
2025-11-24T10:36:43Z,@ichbinschwul187,the funniest story would be trump being so nice to zohran because hes genuinely scared of the brown man,1
2025-11-24T10:35:17Z,@talip9174,God they have no morals. It&#39;s crazy.,0
2025-11-24T10:22:47Z,@moonagedaydream-ohyeah,"After watching this guy, that Lions victory was extra sweet.",0
2025-11-24T10:22:38Z,@AMSNDylan,"<a href=""https://www.youtube.com/watch?v=oZBzUIA26eU&amp;t=1183"">19:43</a> how do government run grocery stores not help the middle class???",0
2025-11-24T10:15:12Z,@amj2048,"Something people seem to be missing is, Trump only likes (or liked) Zohran because he meet him and Zohran said nice things to him. That&#39;s all it takes.<br><br>If Trump met AOC and she was nice to him, he would like her too.<br><br>It&#39;s also artificial, like everything in Trump&#39;s world. Trump&#39;s ability to like or hate, depends on what happened in the last 10 minutes.",0
2025-11-24T10:15:05Z,@JulesEAbril-wl7es,"i thought he was gonna get Kashoggi&#39;d. I&#39;ll be real,",0
